,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,dewPoint,humidity,icon,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,summary,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,uvIndex,uvIndexTime,visibility,windBearing,windGust,windGustTime,windSpeed,MM_DD,Year
0,33.56,1231189200,30.57,1231214400,33.56,1231189200,23.05,1231160400,0.98,24.15,0.73,cloudy,0.3,,0.0,0.0,,0.0,,1021.82,Overcast throughout the day.,1231160476,1231195090,33.56,1231189200,32.99,1231207200,35.6,1231131600,27.62,1231160400,1231131600,2,1231174800,9.46,9,10.92,1231138800,2.51,01-05,2009
0,19.43,1262732400,11.1,1262757600,19.54,1262743200,3.92,1262692800,0.71,8.44,0.66,partly-cloudy-day,0.68,,0.0,0.0,,0.0,,1024.64,Mostly cloudy throughout the day.,1262696476,1262731077,25.01,1262725200,17.6,1262754000,25.01,1262725200,12.32,1262700000,1262667600,2,1262710800,9.21,280,14.39,1262721600,5.13,01-05,2010
0,36.8,1294257600,26.28,1294318800,36.8,1294257600,19.57,1294232400,0.5,16.3,0.63,partly-cloudy-day,0.05,,0.0,0.0,,0.0,,1016.24,Mostly cloudy throughout the day.,1294232476,1294267064,36.8,1294257600,26.28,1294318800,36.8,1294257600,19.57,1294232400,1294203600,2,1294246800,9.96,125,3.58,1294257600,0.09,01-05,2011
0,54.8,1325797200,40.14,1325851200,54.8,1325797200,28.75,1325768400,0.07,26.75,0.59,partly-cloudy-day,0.38,,0.0,0.0,,0.0,,1019.08,Partly cloudy until afternoon.,1325768476,1325803052,54.8,1325797200,42.19,1325851200,54.8,1325797200,28.75,1325768400,1325739600,2,1325782800,10.0,207,13.26,1325797200,2.99,01-05,2012
0,45.04,1357412400,36.93,1357477200,45.04,1357412400,23.11,1357387200,0.43,25.0,0.71,cloudy,0.77,,0.0,0.0,,0.0,,1026.93,Overcast starting in the afternoon.,1357390876,1357425491,45.04,1357412400,38.66,1357452000,45.04,1357412400,23.11,1357387200,1357362000,2,1357405200,9.29,207,8.83,1357405200,1.09,01-05,2013
0,54.3,1388948400,-13.89,1389013200,54.3,1388948400,13.76,1388980800,0.96,32.67,0.76,rain,0.16,,0.02,0.1142,1388955600.0,1.0,rain,1009.56,"Rain starting in the afternoon, continuing until evening.",1388926876,1388961478,54.3,1388948400,0.31,1389013200,54.3,1388948400,24.26,1388980800,1388898000,2,1388941200,8.23,246,24.33,1388977200,1.62,01-05,2014
0,24.81,1420491600,22.6,1420513200,24.81,1420491600,10.47,1420462800,0.24,8.98,0.59,cloudy,0.52,,0.0,0.0,,0.0,,1036.09,Overcast overnight.,1420462876,1420497465,24.81,1420491600,22.6,1420513200,24.81,1420491600,15.75,1420462800,1420434000,2,1420477200,10.0,282,13.06,1420434000,2.27,01-05,2015
0,37.79,1452027600,20.8,1452074400,37.79,1452027600,16.41,1452002400,0.0,17.74,0.64,clear-day,0.85,,0.0,0.0,,0.0,,1034.3,Clear throughout the day.,1451998875,1452033453,37.79,1452027600,20.8,1452074400,37.79,1452027600,21.5,1451998800,1451970000,2,1452013200,10.0,78,6.5,1452016800,1.67,01-05,2016
0,25.38,1483635600,11.89,1483682400,25.38,1483635600,19.04,1483675200,0.97,16.76,0.76,cloudy,0.25,0.041,0.0001,0.0013,1483624800.0,0.25,snow,1018.32,Overcast throughout the day.,1483621275,1483655892,25.38,1483635600,13.07,1483704000,25.38,1483635600,19.04,1483675200,1483592400,2,1483635600,6.71,319,7.16,1483675200,1.48,01-05,2017
0,20.01,1515186000,-0.17,1515243600,20.01,1515186000,8.54,1515135600,0.66,0.59,0.58,cloudy,0.63,,0.0,0.0,,0.0,,1030.26,Overcast until afternoon.,1515157275,1515191879,20.01,1515186000,-0.17,1515243600,20.01,1515186000,8.54,1515135600,1515128400,2,1515171600,10.0,294,7.56,1515182400,1.68,01-05,2018
0,40.89,1231275600,26.75,1231333200,40.97,1231293600,33.37,1231232400,1.0,34.95,0.9,rain,0.33,,0.0166,0.0516,1231268400.0,1.0,rain,1005.1,Light rain in the morning and afternoon.,1231246874,1231281544,40.89,1231275600,33.11,1231333200,40.97,1231293600,33.37,1231232400,1231218000,2,1231261200,4.59,121,6.21,1231218000,0.53,01-06,2009
0,23.72,1262815200,15.73,1262869200,23.72,1262815200,11.1,1262757600,0.82,12.05,0.72,partly-cloudy-day,0.72,,0.0,0.0,,0.0,,1025.0,Mostly cloudy throughout the day.,1262782875,1262817531,23.72,1262815200,17.91,1262840400,23.72,1262815200,17.6,1262754000,1262754000,2,1262797200,8.79,279,8.96,1262800800,1.93,01-06,2010
0,36.11,1294340400,23.14,1294365600,36.11,1294340400,23.14,1294365600,0.71,21.36,0.64,cloudy,0.08,,0.0,0.0,,0.0,,1007.49,Overcast throughout the day.,1294318875,1294353517,42.3,1294340400,29.1,1294405200,42.3,1294340400,26.28,1294318800,1294290000,2,1294333200,9.91,272,24.15,1294347600,4.77,01-06,2011
0,62.8,1325880000,47.31,1325941200,62.8,1325880000,40.14,1325851200,0.07,30.32,0.45,partly-cloudy-night,0.41,,0.0,0.0,,0.0,,1013.33,Mostly cloudy overnight.,1325854875,1325889504,62.8,1325880000,47.31,1325941200,62.8,1325880000,42.19,1325851200,1325826000,2,1325869200,10.0,211,12.55,1325880000,4.58,01-06,2012
0,37.86,1357488000,20.67,1357563600,38.87,1357455600,27.73,1357516800,0.95,27.7,0.68,cloudy,0.81,,0.0,0.0,,0.0,,1022.83,Overcast throughout the day.,1357477273,1357511945,41.35,1357488000,20.67,1357563600,41.35,1357488000,28.63,1357531200,1357448400,2,1357491600,9.66,259,13.61,1357506000,3.07,01-06,2013
0,-10.99,1389009600,-14.67,1389060000,7.55,1388984400,-15.65,1389024000,0.73,-5.93,0.65,partly-cloudy-day,0.2,,0.0,0.0,,0.0,,1026.62,Mostly cloudy throughout the day.,1389013274,1389047932,2.45,1389009600,-2.86,1389067200,19.04,1388984400,-2.86,1389067200,1388984400,2,1389027600,9.83,282,22.38,1388984400,7.47,01-06,2014
0,32.88,1420574400,8.26,1420635600,32.88,1420574400,15.84,1420603200,0.91,16.12,0.61,partly-cloudy-day,0.55,,0.0,0.0,,0.0,,1027.22,Mostly cloudy throughout the day.,1420549274,1420583919,32.88,1420574400,17.49,1420635600,32.88,1420574400,22.59,1420603200,1420520400,2,1420563600,10.0,283,11.2,1420603200,2.28,01-06,2015
0,44.88,1452110400,19.15,1452157200,44.88,1452110400,20.8,1452074400,0.01,17.48,0.6,clear-day,0.89,,0.0,0.0,,0.0,,1029.01,Clear throughout the day.,1452085275,1452119905,44.88,1452110400,22.51,1452171600,44.88,1452110400,20.8,1452074400,1452056400,2,1452099600,10.0,173,8.79,1452099600,0.62,01-06,2016
0,17.65,1483732800,5.3,1483765200,18.32,1483678800,11.03,1483725600,0.73,5.18,0.65,partly-cloudy-day,0.29,,0.0,0.0,,0.0,,1025.38,Mostly cloudy until afternoon.,1483707673,1483742346,17.65,1483732800,7.23,1483794000,18.32,1483678800,11.53,1483761600,1483678800,2,1483722000,10.0,331,9.18,1483729200,2.38,01-06,2017
0,22.1,1515272400,10.24,1515297600,22.1,1515272400,-0.17,1515243600,0.0,0.25,0.63,clear-day,0.67,,0.0,0.0,,0.0,,1036.4,Clear throughout the day.,1515243673,1515278333,22.1,1515272400,10.24,1515297600,22.1,1515272400,-0.17,1515243600,1515214800,2,1515258000,10.0,32,4.59,1515265200,0.08,01-06,2018
0,37.85,1231797600,33.09,1231812000,37.85,1231797600,28.41,1231765200,0.73,27.6,0.76,cloudy,0.56,,0.0,0.0,,0.0,,1021.93,Overcast throughout the day.,1231765219,1231800290,39.95,1231797600,36.01,1231808400,39.95,1231797600,28.41,1231765200,1231736400,2,1231779600,9.17,188,8.7,1231815600,2.37,01-12,2009
0,31.64,1263326400,15.96,1263387600,31.64,1263326400,17.0,1263286800,0.78,17.86,0.71,partly-cloudy-day,0.92,,0.0,0.0008,1263337200.0,0.0,,1030.28,Mostly cloudy until evening.,1263301222,1263336275,31.64,1263326400,15.96,1263387600,31.64,1263326400,22.06,1263286800,1263272400,2,1263315600,7.58,334,7.96,1263272400,1.86,01-12,2010
0,15.46,1294862400,11.32,1294880400,15.46,1294862400,9.09,1294837200,1.0,14.21,0.74,cloudy,0.26,,0.0,0.0,,0.0,,1029.3,Overcast throughout the day.,1294837226,1294872260,23.88,1294858800,18.99,1294923600,23.88,1294858800,19.43,1294837200,1294808400,2,1294851600,7.17,273,20.13,1294855200,8.0,01-12,2011
0,42.79,1326380400,6.68,1326438000,42.94,1326366000,8.43,1326427200,1.0,31.9,0.85,rain,0.62,,0.0029,0.0319,1326391200.0,1.0,rain,1003.22,Mixed precipitation in the afternoon.,1326373229,1326408246,45.26,1326376800,17.18,1326438000,45.26,1326376800,19.56,1326427200,1326344400,2,1326387600,5.82,252,20.79,1326405600,7.01,01-12,2012
